season,dropback_player_id,player,dropbacks,games,total_epa,epa_per_dropback,positive_epa_rate,sacks,scrambles,penalty_rows,identity_fallbacks,league_dropbacks,league_epa_per_dropback,epa_above_average_per_dropback,epa_above_average,schedule_adjustment_total,schedule_adjustment_per_dropback,opponent_adjusted_epa_per_dropback,opponent_adjusted_epa_above_average,pass_plus,resampling_dropbacks,resampled_rate_p025,resampled_rate_p975,pass_plus_resampled_p025,pass_plus_resampled_p975,reference_mean_adjusted_epa_db,reference_sd_player_rates,source_pass_plus_manifest
2017,00-0023682,R.Fitzpatrick,180,6,6.301956010791773,0.035010866726620966,0.46111111111111114,7,10,4,0,19356,0.005665880280425992,0.029344986446194973,5.282097560315095,0.4053097316217313,0.0022517207312318403,0.037262587457852804,5.687407291936826,102.3911851236252,180,-0.21567132381618173,0.18882842529883054,83.24957639514051,113.86143025581592,0.005665880280425988,0.19820740894492533,data/metadata/20260915T175341400908Z/pass_plus_manifest.json
2018,00-0023682,R.Fitzpatrick,283,8,47.07578827408998,0.16634554160455822,0.5017667844522968,14,23,9,0,19669,0.056297614668360245,0.11004792693619797,31.143563322944033,0.726830707449699,0.002568306386748053,0.16891384799130627,31.870394030393733,107.88106642910702,283,-0.04492003203542379,0.44482578145263096,92.91662512647835,127.18983046809214,0.05629761466836027,0.21434199483528435,data/metadata/20260915T175343345511Z/pass_plus_manifest.json
2019,00-0023682,R.Fitzpatrick,574,15,26.17929750937587,0.045608532246299426,0.4738675958188153,40,35,8,0,19839,0.0422891649790085,0.003319367267290922,1.905316811424992,4.064834254807928,0.007081592778411024,0.052690125024710446,5.97015106623292,100.87709064391144,574,-0.11351739049071859,0.19328842634843785,86.8611674824154,112.73344372084134,0.042289164979008496,0.17787716898879768,data/metadata/20260915T175345267639Z/pass_plus_manifest.json
2020,00-0023682,R.Fitzpatrick,295,9,52.604776646745556,0.178321276768629,0.5389830508474577,14,15,6,0,19932,0.0778852461675433,0.10043603060108569,29.628629027320283,-2.2111139610891617,-0.007495301563014108,0.17082597520561488,27.417515066231122,107.65477162577953,295,-0.011318801254184763,0.39331345051446814,92.6529884349323,125.97925466687869,0.07788524616754329,0.1821231257737363,data/metadata/20260915T175347204551Z/pass_plus_manifest.json
2021,00-0023682,R.Fitzpatrick,8,1,-5.470147480160038,-0.6837684350200047,0.125,1,1,0,0,20799,0.04047878194474436,-0.7242472169647491,-5.793977735717993,0.08665506637180798,0.010831883296475997,-0.6729365517235287,-5.707322669346185,42.162021366213565,,,,,,0.040478781944744364,0.18502081604167445,data/metadata/20260915T175349423779Z/pass_plus_manifest.json
2017,00-0023742,J.Ryan,1,1,-2.359139459207654,-2.359139459207654,0.0,0,0,0,0,19356,0.005665880280425992,-2.36480533948808,-2.36480533948808,-0.024649220467180426,-0.024649220467180426,-2.383788679674834,-2.38945455995526,-80.82986196186059,,,,,,0.005665880280425988,0.19820740894492533,data/metadata/20260915T175341400908Z/pass_plus_manifest.json
2018,00-0023853,M.Prater,1,1,4.070927621796727,4.070927621796727,1.0,0,0,0,0,19669,0.056297614668360245,4.014630007128367,4.014630007128367,-0.031874325003553035,-0.031874325003553035,4.039053296793174,3.9827556821248136,378.71969409345894,,,,,,0.05629761466836027,0.21434199483528435,data/metadata/20260915T175343345511Z/pass_plus_manifest.json
2017,00-0024226,J.Cutler,455,14,-42.5162460952361,-0.09344229911040901,0.4197802197802198,20,6,16,0,19356,0.005665880280425992,-0.099108179390835,-45.09422162282993,-2.252728882274464,-0.0049510524885153055,-0.09839335159892432,-47.34695050510439,92.12497410415183,455,-0.24831912781816273,0.035622704369942096,80.7788460494056,102.26708155731757,0.005665880280425988,0.19820740894492533,data/metadata/20260915T175341400908Z/pass_plus_manifest.json
2017,00-0024264,K.Clemens,8,2,-9.740795278106816,-1.217599409763352,0.5,0,0,0,0,19356,0.005665880280425992,-1.223265290043778,-9.786122320350223,0.2682559312181362,0.03353199140226702,-1.184067418361085,-9.517866389132088,9.96300504295769,,,,,,0.005665880280425988,0.19820740894492533,data/metadata/20260915T175341400908Z/pass_plus_manifest.json
2017,00-0024417,S.Koch,2,2,9.42508688842645,4.712543444213225,1.0,0,0,1,0,19356,0.005665880280425992,4.706877563932799,9.413755127865597,-0.05536517578104848,-0.02768258789052424,4.6848608563227,9.358389952084549,454.11352690724493,,,,,,0.005665880280425988,0.19820740894492533,data/metadata/20260915T175341400908Z/pass_plus_manifest.json
