dropback_player_id,player,first_observed_season,last_observed_season,observed_seasons,qualified_seasons,qualified_seasons_above_100,dropbacks,dropback_weighted_season_pass_plus,pooled_adjusted_epa_per_dropback,sum_season_adjusted_epa_above_average
00-0033077,D.Prescott,2017,2025,9,9,6,4736,106.35970465082757,0.11024397141431366,362.45162700063065
00-0033104,C.Kessler,2017,2018,2,0,0,197,79.98905358674446,-0.23056671555767147,-55.04395275727816
00-0033106,J.Goff,2017,2025,9,9,7,5371,107.35442774219406,0.13094060496080115,504.10004105030026
00-0033108,P.Lynch,2017,2017,1,0,0,58,71.67389025509289,-0.3686304409214167,-21.70918662970688
00-0033119,J.Brissett,2017,2025,9,5,1,2506,96.30104262216682,-0.01732462432481836,-119.13146878094922
00-0033132,K.Byard,2018,2018,1,0,0,1,630.3853489561335,7.635221196446098,7.578923581777738
00-0033251,Z.Pascal,2019,2020,2,0,0,2,39.593539149620106,-0.6644302294237217,-1.449034869993995
00-0033269,R.Sanchez,2025,2025,1,0,0,1,381.3452525027557,3.560068282445241,3.516923171132601
00-0033275,P.Walker,2020,2023,4,0,0,374,76.86550677527852,-0.25589455720167137,-105.01114744015402
00-0033280,C.McCaffrey,2018,2025,4,0,0,5,206.17421516291625,1.5239271494062994,7.420141445566556
00-0033307,K.Bourne,2021,2024,2,0,0,2,136.3806660546882,0.4786816607200407,0.8645336670388561
00-0033319,N.Mullens,2018,2025,7,2,1,859,102.5663414363937,0.086045238179244,29.048136899826073
00-0033357,T.Hill,2018,2025,8,0,0,375,99.00267398996407,0.04064609665507049,-4.670133625073202
00-0033400,M.Haack,2017,2025,3,0,0,4,149.5530261980696,0.6423677916497652,2.436081845047978
00-0033466,I.McKenzie,2020,2020,1,0,0,1,281.6046858543891,2.2828461156981286,2.204960869530585
00-0033471,I.Ford,2019,2019,1,0,0,1,196.14834095569654,1.1824621444569396,1.1401729794779312
00-0033537,D.Watson,2017,2024,7,7,4,2766,103.47632059851206,0.09028086274707994,121.12340553841302
00-0033550,D.Webb,2022,2022,1,0,0,42,102.57107866453437,0.04645377992912502,1.3011824449344989
00-0033555,M.Hollins,2022,2022,1,0,0,1,102.23107401099155,0.0423568512697134,0.026883605743790735
00-0033556,T.Cohen,2017,2018,2,0,0,3,250.2491928701213,2.0851284878753624,6.187756088396875
00-0033557,J.Reeves-Maybin,2023,2023,1,0,0,1,445.3362593978261,4.181017973231001,4.182149051812728
00-0033572,J.Agnew,2020,2020,1,0,0,1,51.865970088610865,-0.5065360860690372,-0.5844213322365805
00-0033662,C.Rush,2017,2025,6,1,0,626,87.5135795315971,-0.11797736490142254,-97.78579429864723
00-0033681,K.Cole,2021,2021,1,0,0,1,35.972491545960395,-0.7492826756073633,-0.7897614575521076
00-0033733,G.Ward,2020,2021,2,0,0,4,21.348148863600855,-0.9089309291582467,-3.8724517728575623
00-0033787,J.Elliott,2019,2019,1,0,0,1,-102.65639367326747,-2.360907207292999,-2.4031963722720073
00-0033839,D.Westbrook,2018,2018,1,0,0,1,61.77310007050849,-0.48994438448203975,-0.5462419991504
00-0033856,L.Fournette,2021,2022,2,0,0,2,-124.14545934569064,-2.6806350281633184,-5.417222083797303
