season,dropback_player_id,player,dropbacks,games,total_epa,epa_per_dropback,positive_epa_rate,sacks,scrambles,penalty_rows,identity_fallbacks,league_dropbacks,league_epa_per_dropback,epa_above_average_per_dropback,epa_above_average
2024,00-0036849,T.Atwell,1,1,-0.5111013762652874,-0.5111013762652874,0.0,0,0,0,0,20116,0.052350872456481054,-0.5634522487217685,-0.5634522487217685
2024,00-0038583,D.Thompson-Robinson,132,6,-68.4755225352128,-0.518753958600097,0.29545454545454547,8,6,8,0,20116,0.052350872456481054,-0.571104831056578,-75.3858376994683
2024,00-0038108,B.Zappe,33,1,-17.13865660532574,-0.5193532304644163,0.30303030303030304,1,1,0,0,20116,0.052350872456481054,-0.5717041029208974,-18.866235396389612
2024,00-0039916,R.Pearsall,1,1,-0.5309751115273684,-0.5309751115273684,0.0,0,0,0,0,20116,0.052350872456481054,-0.5833259839838495,-0.5833259839838495
2024,00-0032434,B.Allen,33,2,-18.46293450144508,-0.559482863680154,0.3333333333333333,2,1,0,0,20116,0.052350872456481054,-0.611833736136635,-20.190513292508953
2024,00-0038582,C.Tune,2,1,-1.1280186781659722,-0.5640093390829861,0.5,0,0,0,0,20116,0.052350872456481054,-0.6163602115394672,-1.2327204230789344
2024,00-0037276,T.Chandler,1,1,-0.5984916715533473,-0.5984916715533473,0.0,1,0,0,0,20116,0.052350872456481054,-0.6508425440098283,-0.6508425440098283
2024,00-0034401,M.White,11,1,-7.152866298856679,-0.6502605726233345,0.18181818181818182,0,0,0,0,20116,0.052350872456481054,-0.7026114450798155,-7.728725895877971
2024,00-0033897,J.Mixon,1,1,-0.7261459626606666,-0.7261459626606666,0.0,0,0,0,0,20116,0.052350872456481054,-0.7784968351171476,-0.7784968351171476
2024,00-0033357,T.Hill,4,3,-3.2176933154271543,-0.8044233288567886,0.25,0,0,0,0,20116,0.052350872456481054,-0.8567742013132696,-3.4270968052530786
2024,00-0037077,S.Howell,19,1,-16.28041466396543,-0.8568639296823911,0.10526315789473684,4,1,0,0,20116,0.052350872456481054,-0.9092148021388722,-17.27508124063857
2024,00-0031800,T.Heinicke,10,4,-9.025122956372797,-0.9025122956372797,0.2,3,2,0,0,20116,0.052350872456481054,-0.9548631680937608,-9.548631680937609
2024,00-0039337,M.Nabers,1,1,-0.9637323682836723,-0.9637323682836723,0.0,0,0,0,0,20116,0.052350872456481054,-1.0160832407401532,-1.0160832407401532
2024,00-0037324,C.Oladokun,2,1,-1.9449417039286345,-0.9724708519643173,0.0,1,1,0,0,20116,0.052350872456481054,-1.0248217244207982,-2.0496434488415964
2024,00-0036880,P.Sewell,1,1,-0.9758530937833712,-0.9758530937833712,0.0,1,0,0,0,20116,0.052350872456481054,-1.028203966239852,-1.028203966239852
2024,00-0034521,A.Lazard,1,1,-1.0107955927378498,-1.0107955927378498,0.0,0,0,0,0,20116,0.052350872456481054,-1.0631464651943308,-1.0631464651943308
2024,00-0033307,K.Bourne,1,1,-1.3199654843192548,-1.3199654843192548,0.0,0,0,0,0,20116,0.052350872456481054,-1.3723163567757357,-1.3723163567757357
2024,00-0034960,J.Meyers,1,1,-1.5676263889763504,-1.5676263889763504,0.0,1,0,0,0,20116,0.052350872456481054,-1.6199772614328314,-1.6199772614328314
2024,00-0034844,S.Barkley,1,1,-1.659953220529728,-1.659953220529728,0.0,1,0,0,0,20116,0.052350872456481054,-1.712304092986209,-1.712304092986209
2024,00-0032943,R.Dixon,1,1,-1.8986855424009264,-1.8986855424009264,0.0,0,0,0,0,20116,0.052350872456481054,-1.9510364148574073,-1.9510364148574073
2024,00-0035719,D.Samuel,1,1,-2.089831991296666,-2.089831991296666,0.0,1,0,0,0,20116,0.052350872456481054,-2.142182863753147,-2.142182863753147
2024,00-0032399,M.Killebrew,1,1,-2.6777201897348277,-2.6777201897348277,0.0,0,0,0,0,20116,0.052350872456481054,-2.7300710621913087,-2.7300710621913087
2024,00-0034162,J.Scott,1,1,-2.7066063629463315,-2.7066063629463315,0.0,0,0,0,0,20116,0.052350872456481054,-2.7589572354028125,-2.7589572354028125
2024,00-0029692,B.Anger,2,2,-5.6870228089392185,-2.8435114044696093,0.0,0,0,0,0,20116,0.052350872456481054,-2.89586227692609,-5.79172455385218
2024,00-0028872,J.Hekker,2,2,-5.712034730240703,-2.8560173651203513,0.0,0,0,0,0,20116,0.052350872456481054,-2.9083682375768323,-5.8167364751536645
2024,00-0030279,K.Allen,1,1,-5.911163269076496,-5.911163269076496,0.0,0,0,0,0,20116,0.052350872456481054,-5.963514141532977,-5.963514141532977
